run_id,duration_ms,success
1,95.08,1
2,214.83,1
3,216.01,1
4,100.04,1
5,8.59,1
6,30.84,1
7,94.19,1
8,166.74,1
9,25.55,1
10,94.45,1
11,232.54,1
12,25.52,1
13,83.19,1
14,110.93,1
15,19.53,1
16,78.99,1
17,25.94,1
18,92.10,1
19,163.08,1
20,143.29,1
21,74.63,1
22,37.34,1
23,82.28,1
24,25.20,1
25,42.59,1
26,190.19,1
27,18.36,1
28,267.87,1
29,60.42,1
30,46.41,1
31,266.06,1
32,36.60,1
33,39.33,1
34,76.97,1
35,42.85,1
36,106.62,1
37,224.45,1
38,17.07,1
39,95.48,1
40,110.93,1
41,204.09,1
42,4.87,1
43,16.60,1
44,254.64,1
45,43.94,1
46,104.51,1
47,154.59,1
48,37.21,1
49,38.92,1
50,187.52,1
51,211.90,1
52,99.22,1
53,143.91,1
54,73.39,1
55,35.78,1
56,55.62,1
57,24.77,1
58,29.00,1
59,29.91,1
60,27.15,1
61,50.80,1
62,73.97,1
63,88.97,1
64,15.81,1
65,179.18,1
66,181.66,1
67,76.18,1
68,178.18,1
69,113.99,1
70,128.75,1
71,61.90,1
72,158.89,1
73,28.04,1
74,34.32,1
75,171.95,1
76,212.72,1
77,94.67,1
78,38.40,1
79,46.75,1
80,67.30,1
81,16.03,1
82,30.83,1
83,21.33,1
84,56.03,1
85,46.52,1
86,186.10,1
87,182.45,1
88,8.90,1
89,25.19,1
90,317.95,1
91,157.53,1
92,25.62,1
93,26.32,1
94,42.82,1
95,4.65,1
96,42.72,1
97,324.63,1
98,11.68,1
99,69.32,1
100,27.26,1
101,295.34,1
102,28.27,1
103,26.04,1
104,51.06,1
105,28.22,1
106,29.70,1
107,74.35,1
108,23.79,1
109,97.16,1
110,29.56,1
111,59.09,1
112,177.65,1
113,33.74,1
114,72.49,1
115,28.46,1
116,79.62,1
117,159.74,1
118,59.15,1
119,102.44,1
120,18.01,1
121,60.40,1
122,78.10,1
123,45.35,1
124,90.47,1
125,51.02,1
126,32.54,1
127,44.64,1
128,118.94,1
129,35.09,1
130,17.02,1
131,101.86,1
132,23.83,1
133,18.09,1
134,56.76,1
135,25.10,1
136,35.11,1
137,24.40,1
138,272.44,1
139,96.18,1
140,160.36,1
141,49.62,1
142,56.57,1
143,165.62,1
144,13.55,1
145,14.98,1
146,133.57,1
147,28.19,1
148,13.47,1
149,21.02,1
150,28.12,1
151,149.52,1
152,192.47,1
153,45.68,1
154,9.40,1
155,165.10,1
156,117.47,1
157,15.59,1
158,82.41,1
159,58.71,1
160,76.83,1
161,109.98,1
162,32.57,1
163,92.89,1
164,35.17,1
165,25.89,1
166,50.37,1
167,150.62,1
168,29.63,1
169,209.88,1
170,121.50,1
171,140.98,1
172,27.41,1
173,24.61,1
174,52.14,1
175,101.84,1
176,12.71,1
177,141.45,1
178,107.82,1
179,129.45,1
180,6.07,1
181,28.53,1
182,55.76,1
183,153.23,1
184,61.70,1
185,41.64,1
186,16.57,1
187,150.30,1
188,26.30,1
189,66.80,1
190,35.74,1
191,99.82,1
192,124.70,1
193,46.68,1
194,15.06,1
195,75.78,1
196,74.90,1
197,130.20,1
