run_id,duration_ms,success
1,29.79,1
2,13.01,1
3,21.08,1
4,15.70,1
5,14.51,1
6,19.93,1
7,9.26,1
8,10.94,1
9,43.09,1
10,30.69,1
11,27.26,1
12,34.39,1
13,39.07,1
14,6.94,1
15,2.74,1
16,35.42,1
17,128.81,1
18,107.06,1
19,52.76,1
20,19.31,1
21,15.41,1
22,19.30,1
23,58.38,1
24,6.60,1
25,7.17,1
26,27.04,1
27,9.60,1
28,5.62,1
29,26.73,1
30,38.56,1
31,36.32,1
32,17.66,1
33,52.42,1
34,23.81,1
35,56.01,1
36,14.90,1
37,28.31,1
38,35.26,1
39,6.77,1
40,9.94,1
41,9.52,1
42,4.42,1
43,58.69,1
44,17.12,1
45,17.42,1
46,27.96,1
47,28.06,1
48,112.49,1
49,13.69,1
50,17.66,1
51,47.29,1
52,15.05,1
53,28.86,1
54,57.32,1
55,12.63,1
56,14.46,1
57,35.96,1
58,11.55,1
59,35.65,1
60,9.28,1
61,427.12,1
62,51.88,1
63,7.78,1
64,23.00,1
65,596.05,1
66,73.18,1
67,2.96,1
68,55.72,1
69,23.44,1
70,38.97,1
71,15.43,1
72,45.26,1
73,18.94,1
74,42.68,1
75,97.26,1
76,53.30,1
77,28.16,1
78,27.74,1
79,25.03,1
80,15.95,1
81,105.82,1
82,22.16,1
83,6.69,1
84,108.43,1
85,6.30,1
86,13.41,1
87,13.49,1
88,188.38,1
89,34.28,1
90,45.32,1
91,11.21,1
92,18.16,1
93,13.94,1
94,19.19,1
95,31.32,1
96,23.00,1
97,58.55,1
98,54.53,1
99,29.96,1
100,61.92,1
101,86.98,1
102,103.61,1
103,149.36,1
104,7.30,1
105,167.14,1
106,119.34,1
107,25.25,1
108,95.55,1
109,45.47,1
110,36.63,1
111,28.24,1
112,9.38,1
113,37.51,1
114,101.04,1
115,91.50,1
116,82.80,1
117,56.83,1
118,8.89,1
119,188.64,1
120,44.13,1
121,138.16,1
122,8.06,1
123,78.40,1
124,9.47,1
125,74.95,1
126,78.51,1
127,60.65,1
128,36.65,1
129,3.55,1
130,40.73,1
131,149.16,1
132,52.85,1
133,36.42,1
134,2.76,1
135,64.31,1
136,51.02,1
137,109.52,1
138,53.11,1
139,165.34,1
140,121.06,1
141,33.29,1
142,182.46,1
143,88.51,1
144,115.21,1
145,61.05,1
146,230.93,1
147,41.99,1
148,134.54,1
149,88.15,1
150,116.55,1
151,17.95,1
152,153.87,1
153,33.13,1
154,385.97,1
155,25.31,1
156,98.50,1
157,19.16,1
158,91.80,1
159,136.05,1
160,26.96,1
161,136.12,1
162,18.22,1
163,65.14,1
