sig_alg,kem_alg,nc_median_ms,nc_p95_ms,nc_p99_ms,nc_success_rate,nc_bytes_per_conn,nc_packets_per_conn,nc_retrans,c_median_ms,c_p95_ms,c_p99_ms,c_success_rate,c_bytes_per_conn,c_packets_per_conn,c_retrans,gain_median_pct,gain_bytes_pct,gain_packets_pct,gain_retrans_pct
mldsa44,mlkem512,371.5,920.2999999999997,1554.1599999999999,100.0,10671,22,108,355.5,875.5999999999995,1654.5099999999995,100.0,10666,22,99,4.306864064602961,0.047343311164190764,0.46168051708218566,8.333333333333332
mldsa65,hqc192,601.5,1482.2499999999998,2009.5799999999995,100.0,25818,34,160,647.0,1449.2999999999997,2199.5799999999995,100.0,25846,34,161,-7.564422277639235,-0.10729002818590662,-0.21443888491780658,-0.625
mldsa65,mlkem768,367.5,1124.0499999999963,1915.2199999999998,100.0,13922,24,118,380.0,1189.999999999999,1639.3499999999997,100.0,13936,24,133,-3.4013605442176873,-0.10710017407549316,-0.10968612892338762,-12.711864406779661
mldsa87,mlkem1024,443.0,986.2499999999998,1542.09,100.0,18321,28,114,427.5,1086.2499999999998,1745.7699999999993,100.0,18337,28,111,3.4988713318284423,-0.08850931236298877,-0.31888679518771185,2.631578947368421
