run_id,duration_ms,success
1,50990.03,1
2,48932.22,1
3,43758.77,1
4,51343.64,1
5,44693.53,1
6,65764.26,1
7,51831.78,1
8,50542.10,1
9,43560.29,1
10,48324.60,1
11,47253.20,1
12,50061.75,1
13,52789.02,1
14,47344.47,1
15,39198.50,1
16,46317.83,1
17,50137.84,1
18,44101.24,1
19,49865.63,1
20,45537.79,1
21,48893.82,1
22,48356.81,1
23,54535.14,1
24,51159.58,1
25,48023.82,1
26,43656.49,1
27,48775.56,1
28,50396.99,1
29,53484.81,1
30,45796.17,1
31,52503.44,1
32,43877.57,1
33,53472.24,1
34,57205.35,1
35,46237.37,1
36,48708.31,1
37,39675.16,1
38,46979.61,1
39,52449.59,1
40,52582.63,1
41,48330.94,1
42,48120.47,1
43,53552.13,1
44,49923.06,1
45,47870.57,1
46,65482.32,1
47,65288.48,1
48,73854.65,1
49,87678.25,1
50,82843.72,1
51,99833.98,1
52,93107.98,1
53,75314.52,1
54,94918.54,1
55,91689.77,1
56,80908.08,1
57,90299.80,1
58,90813.04,1
59,92409.08,1
60,94045.56,1
61,92383.13,1
62,84076.14,1
63,101802.34,1
64,90917.08,1
65,105571.42,1
66,84914.41,1
67,98333.76,1
68,82066.68,1
69,96999.88,1
70,89560.88,1
71,93321.60,1
72,78805.28,1
73,82932.21,1
74,57865.31,1
75,45718.23,1
76,47995.92,1
77,39104.17,1
78,47402.30,1
79,44211.94,1
80,51950.98,1
81,50541.34,1
82,44355.97,1
83,59520.72,1
84,40184.12,1
85,46512.06,1
86,49085.46,1
87,57078.85,1
88,46086.27,1
89,47318.43,1
90,47787.67,1
91,39565.33,1
92,51299.34,1
93,50426.18,1
94,46156.71,1
95,52020.94,1
96,49935.94,1
97,49905.49,1
98,53823.77,1
99,48087.57,1
100,46560.52,1
101,43937.53,1
102,49445.42,1
103,39700.83,1
104,47163.30,1
105,53632.66,1
106,46448.68,1
107,50250.23,1
108,44726.64,1
109,50733.26,1
110,53556.72,1
111,48489.17,1
112,56010.63,1
113,40657.10,1
114,44390.99,1
115,51968.34,1
116,44520.76,1
117,47436.07,1
118,45632.96,1
119,42546.31,1
120,41853.87,1
121,43911.50,1
122,41644.73,1
123,49531.40,1
124,52093.97,1
125,47443.01,1
126,48234.48,1
127,47912.46,1
128,44899.52,1
129,48812.62,1
130,47189.48,1
131,40911.06,1
132,40102.64,1
133,51592.34,1
134,51745.31,1
135,49781.38,1
136,48166.26,1
137,47701.89,1
138,53220.38,1
139,38615.00,1
140,50225.52,1
141,47656.82,1
142,57911.08,1
143,50574.86,1
144,42846.44,1
145,42864.26,1
146,44752.04,1
147,43584.54,1
148,50158.36,1
149,44048.73,1
150,42438.93,1
151,51901.54,1
152,44687.96,1
153,48668.81,1
154,43187.40,1
155,46490.01,1
156,40062.01,1
157,49729.01,1
158,41709.79,1
159,51052.84,1
160,53715.36,1
161,48043.10,1
162,40556.05,1
163,50041.97,1
164,43535.48,1
165,39964.13,1
166,42011.55,1
167,49493.83,1
168,47160.43,1
169,50839.88,1
170,41081.06,1
171,46747.85,1
172,46714.12,1
173,51533.23,1
174,52069.84,1
175,48909.47,1
176,40140.38,1
177,64476.76,1
178,43965.25,1
179,50976.96,1
180,42352.25,1
181,51593.66,1
182,49115.71,1
183,50336.51,1
184,47797.97,1
185,38389.28,1
186,47209.37,1
187,53246.91,1
188,49015.54,1
189,47572.46,1
190,42206.34,1
191,40977.72,1
192,52266.10,1
193,40673.76,1
194,50215.70,1
195,47322.08,1
196,47423.84,1
197,39374.75,1
198,55434.17,1
199,49036.35,1
200,49797.41,1
201,40544.93,1
202,54346.78,1
203,57552.52,1
204,48336.21,1
205,54042.22,1
206,79411.90,1
207,87746.62,1
208,78350.14,1
209,78684.61,1
210,88605.34,1
211,80144.45,1
212,99329.89,1
213,92023.93,1
214,94765.93,1
215,79278.38,1
216,83442.90,1
217,114742.63,1
218,76979.89,1
219,97310.62,1
220,79475.25,1
221,122065.05,1
222,87331.48,1
223,92719.47,1
224,90540.00,1
225,92348.39,1
226,95793.54,1
227,85756.30,1
228,85039.20,1
229,82048.33,1
230,86044.55,1
231,94651.69,1
232,87553.04,1
233,71626.13,1
234,61444.84,1
235,45200.11,1
236,45442.91,1
237,46047.47,1
238,48391.98,1
239,43041.18,1
240,51291.86,1
241,53108.22,1
242,47486.46,1
243,42604.30,1
244,49664.51,1
245,46830.17,1
246,45528.73,1
247,56279.55,1
248,53855.40,1
249,51993.48,1
250,45729.31,1
251,50437.05,1
252,50713.06,1
253,48491.01,1
254,44966.16,1
255,42842.39,1
256,50009.25,1
257,44322.95,1
258,38346.74,1
259,47377.12,1
260,36263.78,1
261,54012.83,1
262,39933.50,1
263,41893.29,1
264,44855.03,1
265,45800.99,1
266,43307.05,1
267,46334.90,1
268,44356.30,1
269,40329.46,1
270,52393.07,1
271,45212.90,1
272,51856.84,1
273,45457.57,1
274,52442.17,1
275,56954.10,1
276,43424.73,1
277,50592.11,1
278,48512.88,1
279,47164.41,1
280,45011.77,1
281,53782.66,1
282,54058.60,1
283,44428.42,1
284,42453.56,1
285,44495.54,1
286,53583.33,1
287,49439.97,1
288,51348.36,1
289,51932.90,1
290,48667.06,1
291,54432.92,1
292,51795.65,1
293,44461.25,1
294,44339.18,1
295,50080.77,1
296,44365.51,1
297,48102.13,1
298,48371.19,1
299,51422.39,1
300,49189.12,1
301,51719.93,1
302,44517.11,1
303,46131.12,1
304,52601.81,1
305,49753.35,1
306,54582.83,1
307,42635.99,1
308,41585.58,1
309,43611.41,1
310,46357.23,1
311,43742.74,1
312,52178.21,1
313,41962.84,1
314,49465.21,1
315,49202.73,1
316,44429.98,1
317,51065.42,1
318,50776.09,1
319,48637.94,1
320,55274.30,1
321,51020.30,1
322,42937.91,1
323,51717.44,1
324,46922.14,1
325,46379.17,1
326,44550.39,1
327,38110.83,1
328,51836.29,1
329,56289.03,1
330,47764.96,1
331,41897.71,1
332,51242.22,1
333,44158.19,1
334,58707.32,1
335,37651.78,1
336,42495.38,1
337,45917.42,1
338,44093.97,1
339,44683.60,1
340,56362.79,1
341,45252.47,1
342,44069.19,1
343,42290.41,1
344,47295.65,1
345,49747.86,1
346,50941.28,1
347,42656.82,1
348,50644.80,1
349,42142.73,1
350,45982.15,1
351,44746.47,1
352,37596.43,1
353,44781.86,1
354,50774.26,1
355,44531.62,1
356,41146.09,1
357,53000.52,1
358,38810.87,1
359,40834.56,1
360,52622.43,1
361,56593.13,1
362,46601.22,1
363,45201.59,1
364,44847.63,1
365,45267.05,1
366,50709.62,1
367,48014.35,1
368,46746.51,1
369,42111.34,1
370,47703.70,1
371,42982.31,1
372,42405.96,1
373,42968.96,1
374,43841.80,1
375,54238.26,1
376,44505.51,1
377,52379.79,1
378,43795.79,1
379,50774.51,1
380,42237.93,1
381,52786.68,1
382,43957.74,1
383,49328.46,1
