run_id,duration_ms,success
1,1699.29,1
2,2559.61,1
3,2953.68,1
4,1623.89,1
5,4186.83,1
6,1923.29,1
7,2545.51,1
8,2229.65,1
9,2431.93,1
10,2658.08,1
11,2595.06,1
12,3315.87,1
13,3127.83,1
14,5012.76,1
15,4042.25,1
16,4063.48,1
17,5631.22,1
18,4948.82,1
19,5209.65,1
20,5273.83,1
21,5656.86,1
22,5278.45,1
23,5317.67,1
24,4930.77,1
25,5650.86,1
26,5528.43,1
27,5266.62,1
28,5936.00,1
29,6127.04,1
30,6732.70,1
31,5293.58,1
32,5521.42,1
33,5996.79,1
34,6250.77,1
35,5327.02,1
36,5412.60,1
37,5256.29,1
38,5593.28,1
39,6149.88,1
40,5525.89,1
41,6020.53,1
42,5240.86,1
43,5614.10,1
44,6702.05,1
45,5137.30,1
46,5594.74,1
47,5244.98,1
48,5952.50,1
49,6391.68,1
50,5608.69,1
51,5670.08,1
52,5852.08,1
53,5425.02,1
54,5298.82,1
55,4851.69,1
56,6858.98,1
57,6027.14,1
58,6327.59,1
59,6538.44,1
60,5771.76,1
61,5995.34,1
62,5892.43,1
63,5984.85,1
64,5928.88,1
65,6453.89,1
66,5441.73,1
67,5277.52,1
68,5480.34,1
69,6505.78,1
70,5602.75,1
71,5262.72,1
72,5467.03,1
73,5720.74,1
74,5082.03,1
75,5215.50,1
76,5280.98,1
77,5528.07,1
78,5109.51,1
79,5701.22,1
80,5256.65,1
81,5437.68,1
82,5457.05,1
83,5213.13,1
84,5763.11,1
85,6153.55,1
86,6098.29,1
87,5073.65,1
88,5399.48,1
89,5499.95,1
90,5300.65,1
91,5663.15,1
92,5308.09,1
93,5403.70,1
94,5153.96,1
95,5212.51,1
96,4991.37,1
97,4697.56,1
98,5196.01,1
99,5989.05,1
100,4809.04,1
101,5261.69,1
102,6621.56,1
103,7291.85,1
104,5654.57,1
105,6167.54,1
106,5942.12,1
107,5567.31,1
108,6092.32,1
109,6243.14,1
110,4879.73,1
111,5597.96,1
112,5381.68,1
113,5136.42,1
114,5938.42,1
115,6288.76,1
116,4998.25,1
117,5874.72,1
118,6119.81,1
119,5901.28,1
120,6053.45,1
121,5811.23,1
122,7327.51,1
123,5265.25,1
124,5431.96,1
125,5700.32,1
126,5696.46,1
127,6627.60,1
128,5487.65,1
129,6332.67,1
130,5557.04,1
131,5487.31,1
132,5651.67,1
133,5701.49,1
134,5432.49,1
135,5268.73,1
136,6531.20,1
137,4922.35,1
138,4701.57,1
139,5022.13,1
140,5072.06,1
141,4926.28,1
142,5880.88,1
143,5973.71,1
144,5423.11,1
145,6193.44,1
146,6131.34,1
147,5754.02,1
148,5402.59,1
149,5362.51,1
150,6122.20,1
151,6017.72,1
152,5928.78,1
153,4627.96,1
154,6547.11,1
155,5286.77,1
156,5819.46,1
157,5687.56,1
158,5080.39,1
159,5786.70,1
160,5560.32,1
161,6109.50,1
162,5520.85,1
163,6086.01,1
164,6459.71,1
165,5718.22,1
166,5164.35,1
167,5179.33,1
168,6355.63,1
169,6362.39,1
170,7055.23,1
171,6313.83,1
172,5258.56,1
173,5485.44,1
174,5545.94,1
175,5044.60,1
