run_id,duration_ms,success
1,1467.56,1
2,3893.86,1
3,4507.01,1
4,8144.49,1
5,9541.93,1
6,16335.17,1
7,23896.58,1
8,31059.98,1
9,21227.17,1
10,21159.16,1
11,17861.32,1
12,19839.79,1
13,23723.56,1
14,26067.28,1
15,28778.72,1
16,28132.71,1
17,29847.89,1
18,24767.23,1
19,25344.89,1
20,21257.56,1
21,25290.81,1
22,24553.64,1
23,18850.76,1
24,27605.05,1
25,27569.99,1
26,24272.09,1
27,24754.65,1
28,27346.60,1
29,23512.17,1
30,25963.00,1
31,23214.94,1
32,23672.42,1
33,29881.99,1
34,24651.61,1
35,21760.43,1
36,24159.22,1
37,15889.23,1
38,21070.50,1
39,22357.00,1
40,20948.90,1
41,22618.35,1
42,21289.57,1
43,22713.01,1
44,25042.94,1
45,25912.94,1
46,21708.75,1
47,18997.09,1
48,18224.86,1
49,27350.60,1
50,21684.49,1
51,26300.29,1
52,26044.57,1
53,17503.85,1
54,20504.92,1
55,22160.47,1
56,20302.16,1
57,24695.37,1
58,27541.16,1
59,22895.16,1
60,20836.30,1
61,23841.42,1
62,25301.69,1
63,24761.83,1
64,27361.37,1
65,21260.71,1
66,22052.84,1
67,20281.74,1
68,24671.33,1
69,23313.42,1
70,22561.50,1
71,21292.28,1
72,27930.08,1
73,24112.87,1
74,28364.53,1
75,18002.68,1
76,25021.44,1
77,28730.22,1
78,24217.76,1
79,27319.96,1
80,21489.15,1
81,21618.95,1
82,27188.15,1
83,23936.33,1
84,29699.44,1
85,28204.30,1
86,22870.15,1
87,25024.48,1
88,20159.67,1
89,23659.97,1
90,24275.69,1
91,20537.22,1
92,19038.93,1
93,23040.95,1
94,22714.06,1
95,19773.02,1
96,18140.67,1
97,28646.74,1
98,19251.93,1
99,25372.65,1
100,25282.53,1
101,18429.53,1
102,18037.96,1
103,18231.89,1
104,33235.93,1
105,21220.97,1
106,21150.82,1
107,22864.70,1
108,23838.28,1
109,26882.97,1
110,28852.99,1
111,22095.60,1
112,24362.65,1
113,21133.87,1
114,25937.81,1
115,27095.25,1
116,22623.37,1
117,20421.31,1
118,23521.00,1
119,24249.46,1
120,18174.21,1
121,27774.66,1
122,22608.46,1
123,24431.01,1
124,24647.81,1
125,25519.56,1
126,18102.38,1
127,18472.13,1
128,25722.53,1
129,25327.57,1
130,23828.14,1
131,26041.16,1
132,24045.08,1
133,19448.57,1
134,20704.33,1
135,22410.82,1
136,22872.06,1
137,25616.05,1
138,20999.11,1
139,27551.42,1
140,25973.03,1
141,19451.05,1
142,24914.34,1
143,27145.49,1
144,27516.68,1
145,24760.48,1
146,20462.37,1
147,23495.62,1
148,22513.62,1
149,24488.55,1
150,21876.12,1
151,22637.55,1
152,23951.23,1
153,18815.47,1
154,24916.58,1
155,19925.15,1
156,24052.00,1
157,23410.08,1
158,38679.01,1
159,22765.09,1
160,26234.09,1
161,24321.67,1
162,22232.01,1
163,25773.12,1
164,25521.49,1
165,24202.30,1
166,20686.82,1
167,23587.88,1
168,33776.39,1
169,22620.60,1
170,23294.22,1
171,23267.61,1
172,19627.67,1
173,30133.10,1
174,26422.85,1
175,24373.42,1
176,19961.57,1
177,25242.48,1
178,18890.06,1
179,21845.67,1
180,22620.16,1
181,25629.12,1
182,26050.68,1
183,22569.20,1
184,20754.72,1
185,27069.89,1
186,23862.03,1
187,26274.07,1
188,25239.78,1
189,27083.49,1
190,22572.00,1
191,19396.65,1
192,23176.57,1
193,26602.38,1
194,30470.69,1
195,29705.03,1
196,21579.60,1
197,25518.00,1
198,23416.39,1
199,22982.71,1
200,19538.08,1
201,24802.24,1
202,31353.27,1
203,21436.28,1
204,19608.62,1
205,21992.28,1
206,17350.69,1
207,24106.96,1
208,24846.09,1
209,25100.07,1
210,18678.97,1
211,20586.19,1
212,30146.88,1
213,35714.07,1
214,24476.83,1
215,23065.44,1
216,25317.90,1
217,19635.26,1
218,24662.95,1
219,23360.62,1
220,28549.78,1
221,21235.69,1
222,25061.46,1
223,23572.33,1
224,25596.23,1
225,25575.33,1
226,27254.31,1
227,22975.83,1
228,26335.14,1
229,25611.94,1
230,23673.56,1
231,23369.05,1
232,19389.58,1
233,28595.52,1
234,22033.74,1
235,25140.79,1
236,19315.11,1
237,25606.80,1
238,24678.26,1
239,25252.53,1
240,21816.25,1
241,17368.95,1
242,28719.24,1
243,29594.36,1
244,29834.43,1
245,27547.90,1
246,23422.97,1
247,18644.40,1
248,19905.86,1
249,23420.41,1
250,27835.69,1
251,23557.61,1
252,19801.01,1
253,21915.34,1
254,20937.18,1
255,21396.74,1
256,29508.47,1
257,24641.72,1
258,28502.77,1
259,24663.10,1
260,22303.31,1
261,24215.79,1
262,25410.67,1
263,24615.43,1
264,22508.60,1
265,18809.13,1
266,25253.74,1
267,29131.40,1
268,21942.72,1
269,26092.32,1
270,22902.13,1
271,27806.89,1
272,23733.99,1
273,20888.41,1
274,22564.54,1
275,26400.46,1
276,21409.73,1
277,23835.21,1
278,28995.90,1
279,23041.69,1
280,25464.74,1
281,18002.49,1
282,22990.65,1
283,22552.80,1
284,29240.04,1
285,24961.41,1
286,23888.51,1
287,22305.24,1
288,26236.38,1
289,20823.03,1
290,18924.95,1
291,22163.99,1
292,24536.20,1
293,23700.04,1
294,22474.87,1
295,28384.81,1
296,19600.53,1
297,21800.49,1
298,21612.50,1
299,22705.04,1
300,25534.11,1
301,20674.52,1
302,29560.28,1
303,23524.20,1
304,19809.00,1
305,23225.65,1
306,21909.14,1
307,21524.62,1
308,20415.23,1
309,29747.63,1
310,19796.37,1
311,19605.24,1
312,19738.61,1
313,20758.01,1
314,22711.77,1
315,19278.63,1
316,23760.72,1
317,30493.68,1
318,25357.36,1
319,21779.41,1
320,25377.92,1
321,33012.13,1
322,30930.24,1
323,26924.86,1
324,22997.57,1
325,26052.74,1
326,18128.39,1
327,20083.24,1
328,20640.01,1
329,21698.19,1
330,22081.76,1
331,25999.91,1
332,21260.83,1
333,26667.01,1
334,26284.66,1
335,21996.68,1
336,22343.76,1
337,22642.86,1
338,22679.12,1
339,18556.94,1
340,21462.00,1
341,25173.04,1
342,27078.84,1
343,22554.26,1
344,27527.25,1
345,17355.66,1
346,28200.36,1
347,23366.94,1
348,19500.02,1
349,22250.95,1
350,19059.51,1
351,22265.63,1
352,27416.32,1
353,26564.96,1
354,22284.29,1
355,21011.01,1
356,24155.75,1
357,23094.14,1
358,22084.33,1
359,24519.28,1
360,21431.62,1
361,24541.30,1
362,19947.02,1
363,21304.28,1
364,21839.81,1
365,26191.44,1
366,25384.85,1
367,26455.58,1
368,24954.57,1
369,23259.39,1
370,26752.46,1
371,20336.88,1
372,24857.22,1
373,24815.11,1
374,26548.19,1
375,21768.26,1
376,27639.68,1
377,19023.39,1
378,19848.12,1
379,23620.54,1
380,27747.49,1
381,25173.77,1
382,32768.28,1
